名詞(複合語),(回数),形容詞,(回数),動詞,(回数),副詞,(回数),連体詞,(回数),接続詞,(回数)
仕上がり感,6,,,蘇る,1,,,,,,,
販売員,6,,,つつく,1,,,,,,,
不可,6,,,勤める,1,,,,,,,
無難,6,,,いてる,1,,,,,,,
ツーウェイ,5,,,混ぜる,1,,,,,,,
水ファンデーション,5,,,しゃれる,1,,,,,,,
余分,5,,,うたう,1,,,,,,,
格安,5,,,洗い流せる,1,,,,,,,
無鉱物油,5,,,かさ張る,1,,,,,,,
色むら,5,,,つかいわける,1,,,,,,,
カーバー力,5,,,おきる,1,,,,,,,
友人,5,,,関わる,1,,,,,,,
美容液入り,5,,,こぐ,1,,,,,,,
女優肌,5,,,迷う,1,,,,,,,
ＳＰＦ,5,,,謳う,1,,,,,,,
印象,5,,,持ち運ぶ,1,,,,,,,
小じわ,5,,,まとめる,1,,,,,,,
相性,5,,,洗い落とせる,1,,,,,,,
ゾーン用,5,,,ひび割れる,1,,,,,,,
密着度,5,,,行う,1,,,,,,,
コストパフォーマンス,5,,,あふれる,1,,,,,,,
顔全体,5,,,写す,1,,,,,,,
宣伝,5,,,ゆすぐ,1,,,,,,,
無香,5,,,移る,1,,,,,,,
最適,5,,,流れる,1,,,,,,,
艶,5,,,くれる,1,,,,,,,
無着色,5,,,こまる,1,,,,,,,
満足,5,,,とけこむ,1,,,,,,,
ファンケル,5,,,赤みがかる,1,,,,,,,
モノ,5,,,ひきたつ,1,,,,,,,
どちら,5,,,ほる,1,,,,,,,
保湿性,5,,,整える,1,,,,,,,
アトピー肌,5,,,いける,1,,,,,,,
健康的,5,,,彫る,1,,,,,,,
大人,5,,,踏む,1,,,,,,,
界面活性剤,5,,,持てる,1,,,,,,,
短時間,5,,,磨く,1,,,,,,,
｡,5,,,のっかる,1,,,,,,,
セット,5,,,決まる,1,,,,,,,
夕方,5,,,湿す,1,,,,,,,
美容液効果,5,,,治す,1,,,,,,,
ＵＶ,5,,,いただく,1,,,,,,,
周り,5,,,薄める,1,,,,,,,
びがいいところ,5,,,かわく,1,,,,,,,
天然,5,,,頼む,1,,,,,,,
服,5,,,点く,1,,,,,,,
乗り,5,,,感ずる,1,,,,,,,
価格的,5,,,困る,1,,,,,,,
すべて,5,,,話す,1,,,,,,,
ヨレ,5,,,まもる,1,,,,,,,
さら,5,,,ふくむ,1,,,,,,,
お手軽,5,,,すくう,1,,,,,,,
厚塗り感,5,,,掛ける,1,,,,,,,
タイプ,5,,,脂ぎる,1,,,,,,,
ボトル,5,,,耐える,1,,,,,,,
生協,5,,,盛り込む,1,,,,,,,
年齢,5,,,ととのう,1,,,,,,,
化粧ノリ,5,,,ずる,1,,,,,,,
ムース状,5,,,引き出す,1,,,,,,,
粉浮き,5,,,すませる,1,,,,,,,
間,5,,,振る,1,,,,,,,
ー,5,,,見つける,1,,,,,,,
変,5,,,ちがう,1,,,,,,,
かん,5,,,成る,1,,,,,,,
ブランドイメージ,5,,,かる,1,,,,,,,
均一,5,,,帰る,1,,,,,,,
OK,4,,,におう,1,,,,,,,
不要,4,,,こむ,1,,,,,,,
ベース,4,,,向く,1,,,,,,,
サッパリ,4,,,つられる,1,,,,,,,
新商品,4,,,塗りたくる,1,,,,,,,
子供,4,,,見付ける,1,,,,,,,
しみそばかす,4,,,つかる,1,,,,,,,
かゆみ,4,,,すう,1,,,,,,,
ｶﾊﾞｰ力,4,,,づける,1,,,,,,,
吸収,4,,,死ぬ,1,,,,,,,
ところ｡,4,,,被れる,1,,,,,,,
反射,4,,,べた付く,1,,,,,,,
化粧品独特,4,,,きえる,1,,,,,,,
コスパ,4,,,保つ,1,,,,,,,
薄付け,4,,,落ちつく,1,,,,,,,
てごろ,4,,,やわらげる,1,,,,,,,
日焼け防止,4,,,跳ね返す,1,,,,,,,
大変,4,,,,,,,,,,,
シャネル,4,,,,,,,,,,,
ケア,4,,,,,,,,,,,
余計,4,,,,,,,,,,,
パウダーファンデ,4,,,,,,,,,,,
一日,4,,,,,,,,,,,
有名ブランド,4,,,,,,,,,,,
値ごろ感,4,,,,,,,,,,,
一回,4,,,,,,,,,,,
気分,4,,,,,,,,,,,
鉱物油,4,,,,,,,,,,,
石油系,4,,,,,,,,,,,
期待,4,,,,,,,,,,,
水性,4,,,,,,,,,,,
美容成分,4,,,,,,,,,,,
嫌,4,,,,,,,,,,,
脂性,4,,,,,,,,,,,
唯一,4,,,,,,,,,,,
お手軽価格,4,,,,,,,,,,,
好み,4,,,,,,,,,,,
付,4,,,,,,,,,,,
ポーチ,4,,,,,,,,,,,
スティック,4,,,,,,,,,,,
最近,4,,,,,,,,,,,
口コミ,4,,,,,,,,,,,
薄塗り,4,,,,,,,,,,,
マッチ,4,,,,,,,,,,,
リキッドファンデ,4,,,,,,,,,,,
肌付き,4,,,,,,,,,,,
凹凸,4,,,,,,,,,,,
カサカサ,4,,,,,,,,,,,
毎日,4,,,,,,,,,,,
矢田亜希子,4,,,,,,,,,,,
自然素材,4,,,,,,,,,,,
立体的,4,,,,,,,,,,,
頬ずり,4,,,,,,,,,,,
化粧浮き,4,,,,,,,,,,,
水溶性,4,,,,,,,,,,,
崩れ,4,,,,,,,,,,,
親切,4,,,,,,,,,,,
立体感,4,,,,,,,,,,,
感想,4,,,,,,,,,,,
つや肌,4,,,,,,,,,,,
ツヤ肌,4,,,,,,,,,,,
雰囲気,4,,,,,,,,,,,
注文,4,,,,,,,,,,,
薄好き,4,,,,,,,,,,,
キャンペーン,4,,,,,,,,,,,
調整,4,,,,,,,,,,,
的,4,,,,,,,,,,,
ここ,4,,,,,,,,,,,
何処,4,,,,,,,,,,,
ブランド自体,4,,,,,,,,,,,
調節,4,,,,,,,,,,,
会社,4,,,,,,,,,,,
自然体,4,,,,,,,,,,,
頻繁,4,,,,,,,,,,,
クリニーク,4,,,,,,,,,,,
日,4,,,,,,,,,,,
つや感,4,,,,,,,,,,,
化粧落ち,4,,,,,,,,,,,
１番,4,,,,,,,,,,,
比較,4,,,,,,,,,,,
回数,4,,,,,,,,,,,
毛穴カバー,4,,,,,,,,,,,
化粧乗り,4,,,,,,,,,,,
きめ細か,4,,,,,,,,,,,
入手,4,,,,,,,,,,,
ところ色,4,,,,,,,,,,,
ほう,3,,,,,,,,,,,
艶肌,3,,,,,,,,,,,
まま,3,,,,,,,,,,,
アラ,3,,,,,,,,,,,
オークル,3,,,,,,,,,,,
内容,3,,,,,,,,,,,
