SEQ,,合計,ドラッグストア,デパート,ブランド専門のインターネット通信販売,大型スーパー,化粧品専門店,インターネット以外の通信販売,その他,ディスカウント系のインターネット通信販売,バラエティショップ,コンビニエンスストア,食品スーパー,ディスカウントショップ（ドンキホーテ等）,ホームセンター
1432,中間みたい,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1433,お着きあい,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1434,ＵＶファンディーション,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1435,度,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1436,勧誘,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1437,別々,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1438,元通り,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1439,ことカバー力,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1440,透明感アップ,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1441,気後れ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1442,人工,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1443,さらさら感,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1444,惰性,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1445,今使用,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1446,ケーキ,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1447,合成物質,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1448,ブルーベース用,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1449,どめ効果,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1450,見え伸び,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1451,補充,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1452,低刺激性,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1453,化粧ムラ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1454,ＣＭどおり洗顔あとスベスベ,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1455,リッキドタイプ,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1456,アレルギー対策,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1457,販売員さん,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1458,あとＣＭ,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1459,桃井かおり,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1460,情報,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1461,確か,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1462,お勧め,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1463,女性誌,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1464,為ナチュラル,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1465,矢田あきこ,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1466,)こと,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1467,ところ伸び,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1468,ミューズ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1469,デザイン機能性,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1470,セミマット,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1471,リキットファンデーション,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1472,､自然,1,0,0,0,0,1,0,0,0,0,0,0,0,0
